
-0.335162,3.885328,-3.914993,-0.279362,-3.685950
0.154192,4.748203,-4.399931,0.191396,-4.253623
1.232368,3.906474,-5.509817,1.239165,-5.356542
2.562567,1.945655,-3.858740,2.532329,-3.456979
3.695060,-0.053612,-3.377930,3.632725,-3.532608
4.439396,-1.530206,-2.740329,4.350753,-2.552313
4.981530,-2.680372,-2.050425,4.870616,-2.244099
5.761733,-4.088563,-1.078654,5.627899,-0.762888
6.924628,-6.539868,0.870637,6.762399,0.720859
8.188784,-9.246975,0.495606,8.003119,0.493851
9.117596,-10.915524,1.847910,8.917334,1.844677
9.417081,-11.496318,1.276819,9.217852,1.145399
8.982990,-11.596488,3.274836,8.799682,3.133003
7.964714,-12.136863,4.303999,7.808836,4.141956
6.647209,-11.635293,5.961473,6.528214,5.782172
5.482159,-10.296259,5.910050,5.396817,5.740974
4.698264,-7.516805,3.902221,4.639693,3.591821
4.127196,-4.671389,1.082675,4.090527,1.040304
3.390517,-3.349288,-0.447454,3.379414,-0.239479
2.260151,-2.398849,0.287063,2.274826,0.084545
0.998522,-1.075251,0.806931,1.037572,0.789894
0.013464,1.061927,-1.203234,0.067753,-1.055357
-0.352683,3.526227,-2.890272,-0.296667,-2.716874
0.010576,4.722120,-5.558581,0.051949,-5.565758
0.998704,4.133862,-5.308276,1.011996,-5.178620
2.320028,2.432218,-4.762478,2.298633,-4.782523
3.514860,0.230102,-3.501878,3.458108,-3.525744
4.323289,-1.247670,-2.520522,4.239036,-2.385510
4.877431,-2.507458,-3.249807,4.772222,-3.168874
5.584308,-3.718705,-0.707776,5.453688,-0.495833
6.691031,-6.066012,-0.241853,6.532987,-0.339736
7.966949,-8.762394,1.975553,7.784183,2.001148
8.987158,-10.657032,2.078165,8.787830,2.068094
9.423476,-11.457609,1.968372,9.222117,1.950386
9.119234,-11.530509,2.431948,8.930806,2.239737
8.192616,-12.043461,5.110889,8.032778,4.902313
6.893075,-11.759971,5.606569,6.767353,5.307134
5.663664,-10.690542,4.452022,5.571964,4.263919
4.809332,-8.113985,3.285723,4.745447,3.184229
4.230533,-5.066045,1.728389,4.191948,1.766178
3.560943,-3.437569,-0.014648,3.544285,-0.041297
2.499614,-2.608218,-0.198634,2.510903,-0.184282
1.229064,-1.377434,0.581569,1.263926,0.500638
0.158281,0.571884,-1.229275,0.210738,-1.298712
-0.343507,3.119115,-3.107197,-0.287272,-2.842236
-0.104512,4.600012,-5.398156,-0.059160,-5.488405
